Time stamp,Water volume in tunnel V (m3),Inflow to tunnel F1 (m3/15 min),Outflow (m3/15 min),Pump efficiency 1.1 (kW),Pump efficiency 1.2 (kW),Pump efficiency 1.3 (kW),Pump efficiency 1.4 (kW),Pump efficiency 2.1 (kW),Pump efficiency 2.2 (kW),Pump efficiency 2.3 (kW),Pump efficiency 2.4 (kW),Pump flow 1.1 (m3/15 min),Pump flow 1.2 (m3/15 min),Pump flow 1.3 (m3/15 min),Pump flow 1.4 (m3/15 min),Pump flow 2.1 (m3/15 min),Pump flow 2.2 (m3/15 min),Pump flow 2.3 (m3/15 min),Pump flow 2.4 (m3/15 min),Electricity price 2: normal (EUR/kWh),Electricity price 1: high (EUR/kWh)
2024-11-15 17:30:00,75856.58618164064762368070661,1091.51611328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90600000000000002753353101070388220250606536865234375,51.6340000000000003410605131648480892181396484375
2024-11-15 17:45:00,76947.96130371095762257027673,1091.375122070309998889570124447345733642578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90600000000000002753353101070388220250606536865234375,51.6340000000000003410605131648480892181396484375
2024-11-15 18:00:00,78066.43664550783762479113648,1118.47534179688000222085975110530853271484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71900000000000030553337637684307992458343505859375,47.12700000000000244426701101474463939666748046875
2024-11-15 18:15:00,79192.08605957033762479113648,1125.6494140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71900000000000030553337637684307992458343505859375,47.12700000000000244426701101474463939666748046875
2024-11-15 18:30:00,80312.14465332033762479113648,1120.05859375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71900000000000030553337637684307992458343505859375,47.12700000000000244426701101474463939666748046875
2024-11-15 18:45:00,81429.68872070314762368070660,1117.544067382809998889570124447345733642578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71900000000000030553337637684307992458343505859375,47.12700000000000244426701101474463939666748046875
2024-11-15 19:00:00,82570.37036132814762368070660,1140.681640625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.57300000000000039790393202565610408782958984375,46.89699999999999846522769075818359851837158203125
2024-11-15 19:15:00,83719.46374511720762257027672,1149.093383789059998889570124447345733642578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.57300000000000039790393202565610408782958984375,46.89699999999999846522769075818359851837158203125
2024-11-15 19:30:00,84863.94702148439762368070660,1144.483276367190001110429875552654266357421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.57300000000000039790393202565610408782958984375,46.89699999999999846522769075818359851837158203125
2024-11-15 19:45:00,86000.59472656252762590156635,1136.64770507813000222085975110530853271484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.57300000000000039790393202565610408782958984375,46.89699999999999846522769075818359851837158203125
2024-11-15 20:00:00,87161.65100097658762479113647,1161.056274414059998889570124447345733642578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.324000000000001620037437533028423786163330078125,37.1989999999999980673237587325274944305419921875
2024-11-15 20:15:00,88324.02258300783762479113647,1162.37158203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.324000000000001620037437533028423786163330078125,37.1989999999999980673237587325274944305419921875
2024-11-15 20:30:00,89481.42175292971762701199622,1157.39916992188000222085975110530853271484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.324000000000001620037437533028423786163330078125,37.1989999999999980673237587325274944305419921875
2024-11-15 20:45:00,90636.06481933596762701199622,1154.64306640625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.324000000000001620037437533028423786163330078125,37.1989999999999980673237587325274944305419921875
2024-11-15 21:00:00,91826.79553222659762923285597,1190.73071289063000222085975110530853271484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67999999999999971578290569595992565155029296875,28.51899999999999835154085303656756877899169921875
2024-11-15 21:15:00,93027.96240234378763034328585,1201.166870117190001110429875552654266357421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67999999999999971578290569595992565155029296875,28.51899999999999835154085303656756877899169921875
2024-11-15 21:30:00,94244.34252929691763256414560,1216.38012695313000222085975110530853271484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67999999999999971578290569595992565155029296875,28.51899999999999835154085303656756877899169921875
2024-11-15 21:45:00,95480.98168945316763256414560,1236.63916015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67999999999999971578290569595992565155029296875,28.51899999999999835154085303656756877899169921875
2024-11-15 22:00:00,96738.53466796879763478500535,1257.55297851563000222085975110530853271484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.148000000000000131450406115618534386157989501953125,26.013000000000001676880856393836438655853271484375
2024-11-15 22:15:00,98013.84167480473763589543523,1275.307006835940001110429875552654266357421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.148000000000000131450406115618534386157989501953125,26.013000000000001676880856393836438655853271484375
